Número do Anúncio;Data de Publicação;Objeto do Procedimento;Entidade(s);Preço Base;CPVs;Tipo de Ato;Modelo do Anúncio;Tipo de Contrato;Diário da República;Série;Ligação para Peças;ID do Procedimento;maximumEstimatedValueUnderFrameworkAgreement
467/2026;09-01-2026;Aquisição da prestação de serviço público de transporte urbano de passageiros em autocarro no Município de Loulé;"Loulé Concelho Global, EM, Unipessoal, SA (505493870)";"168.881,04 €";"60112000-6, Serviços de transporte público rodoviário";Anúncio de concurso urgente;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MTUxMA;8566741;false
423/2026;09-01-2026;Manutenção de AVAC e Sistemas de Águas Quentes Sanitárias;Serviços Municipalizados de Castelo Branco (680017640);"28.000,00 €";"50800000-3, Serviços de reparação e manutenção diversos";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAxMDk3NQ;8566740;false
424/2026;09-01-2026;Fornecimento continuado de Sacos CãoPeão com logotipo personalizado;Serviços Municipalizados de Castelo Branco (680017640);"19.600,00 €";"19640000-4, Sacos de polietileno para recolha de lixo e resíduos";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAxMDk4NQ;8566739;false
425/2026;09-01-2026;"PRC/2025/181/DGA/CP - Emp375  Empreitada de ""Reabilitação Exterior dos Digestores da ETAR de Ílhavo";"Águas do Centro Litoral, SA (513606181)";"195.000,00 €";"45259100-8, Reparação e manutenção de estações de tratamento de águas residuais";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjE0Nw;8566738;false
426/2026;09-01-2026;Requalificação Escola Básica e Secundária José Silvestre Ribeiro;Município de Idanha-a-Nova (501121030);"1.992.483,87 €";"45214220-8, Construção de escola secundária";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk5NDU5;8566737;false
429/2026;09-01-2026;Fornecimento de Vestuário de Trabalho  2025;"A. R. M. - Águas e Resíduos da Madeira, SA (509574513)";"195.980,00 €";"18234000-8, Calças<BR/>18331000-8, T-shirts<BR/>18110000-3, Vestuário profissional<BR/>18114000-1, Jardineiras<BR/>18223200-0, Casacos<BR/>18235000-5, Pullovers, casacos de malha e artigos similares<BR/>18221200-6, Anoraques<BR/>18221300-7, Impermeáveis e gabardinas<BR/>35113400-3, Vestuário de protecção e segurança<BR/>18213000-5, Blusões<BR/>18443000-6, Artigos para cobrir a cabeça e seus acessórios<BR/>18333000-2, Camisolas de gola pólo";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0MDg0Nw;8566736;false
430/2026;09-01-2026;"Aquisição de serviço de transporte e encaminhamento de Sub-Produtos Animais da Categoria M1, M2 e M3 2026 - 2027";Municipio de Bragança (506215547);"30.000,00 €";"90511000-2, Serviços de recolha de resíduos";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjEzMQ;8566735;false
431/2026;09-01-2026;Aquisição de Serviços de Deservagem em Meio Rural na Freguesia de Rio Maior ;Freguesia de Rio Maior (506806677);"147.000,00 €";"90610000-6, Serviços de limpeza e varrimento de ruas";Anúncio de procedimento;Concurso público;Aquisição de serviços;6;2;https://community.vortal.biz/Public/public-tender-documents/Mml1U1V1WjRnMEdwU3FieWM0cUk5Wmd4cmdyTDlCT1ROejk4L2hZTVRhelB1WDduK3dVN0UydXVmTGx5TytwQTJpcEFGb281UkpoZFNrR1BDMStncXc9PThrNDBh;8566734;false
432/2026;09-01-2026;"Substituição de passadiços flutuantes no interior da Doca dos Pescadores  linha 3 e longitudinais de apoio, em Setúbal";"APSS - Administração dos Portos de Setúbal e Sesimbra, SA (502256869)";"450.000,00 €";"45246510-1, Construção de passadiço";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAzNjExNA;8566733;false
433/2026;09-01-2026;93-2025-Fornecimento de Leite Escolar até 31 de Dezembro de 2027;Município de Baião (506854299);"31.756,74 €";"15511000-3, Leite";Anúncio de procedimento;Concurso público;Aquisição de bens móveis;6;2;https://www.anogov.com/cm-baiao/faces/app/acessoDocs.jsp?codigoAcesso=1XrbWf9SOZpEHscBNgMEPJvRZ3Ll8ytZbnyX3k5lCGhsKATLrT;8566732;false
435/2026;09-01-2026;REFORMULAÇÃO DOS CANIS DO POSTO DA GNR (REQUALIFICAÇÃO DOS CANIS DA BRIGADA CINOTÉCNICA DA GNR / CRIAÇÃO DE INSTALAÇÕES PARA OS OPERACIONAIS E SALA PARA O SEPNA) - PROC. N.º 64/2025;Município de Pombal (506334562);"149.600,00 €";"45216110-8, Obras de construção de edifícios destinados às forças policiais";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwOTM3Mw;8566731;false
437/2026;09-01-2026;Eixos Principais - Pavimentação - Execução de Obra;Município da Amadora (505456010);"550.889,54 €";"45233200-1, Obras diversas de pavimentação";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://community.vortal.biz/Public/public-tender-documents/RjMyL2xrbDlVc0JaZkZwUS9zQ28yRFBuRS9ZcWtZc2cwOERPQkRZK3pERFNvOTJTRGhXZmVMRGMyMm1HNFFBRVlYaVlFRGVKcEsyYUowUzYxYk5hZ1E9PTMzOGhi;8566730;false
438/2026;09-01-2026;Repavimentação de vias do Concelho - 8ª fase;Município de Águeda (501090436);"713.000,00 €";"45233252-0, Pavimentação de ruas";Anúncio de procedimento;Concurso público;Empreitadas de obras públicas;6;2;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwOTMzMQ;8566729;false
